a,b,c,d,e,PM2.5
-0.19784,0.18236,-1.12019,-1.63442,-0.17216,0.17699115
0.05542,-0.24692,-1.05557,-0.23043,-0.55889,0.168141593
0.38008,-0.65397,-1.1738,-0.2588,-0.43817,0.247787611
-0.16361,-0.45644,-1.20918,-0.4915,-0.93871,0.336283186
0.99735,-1.28884,-0.83535,-0.09106,-0.87752,0.353982301
0.11258,-1.01664,-1.05262,-0.31574,-0.39235,0.283185841
-0.25891,-0.48882,-0.92203,-0.43971,-0.71099,0.230088496
-0.47626,-0.52372,-0.91287,-0.31663,-0.49119,0.203539823
-0.64867,-0.67535,-0.96263,-0.45922,-0.37968,0.185840708
-0.23256,-1.26061,-1.05944,-0.21765,-0.42905,0.123893805
-0.44212,-1.26391,-1.12692,-0.33294,-0.27535,0.079646018
-0.49026,-1.17327,-0.98732,-0.2424,-0.0808,0.14159292
-0.75512,-1.03434,-0.69808,-0.43933,-0.49486,0.123893805
-0.55901,-0.96095,-0.52983,-0.14546,-0.48353,0.203539823
-0.39469,-0.85507,-0.61262,-0.235,-0.70915,0.17699115
-0.01422,-0.51217,-0.47883,0.07536,-1.10052,0.212389381
-1.05605,-0.14229,-1.56252,-0.45647,-1.1678,0.14159292
-0.06738,1.22517,-0.46158,-1.36037,0.66682,0.159292035
-0.00046,1.55138,-0.35966,-1.0341,0.58989,0.123893805
-0.12294,1.85034,-0.64863,-0.85023,0.60191,0.194690265
-0.05823,1.53828,-0.69217,-1.29719,0.51814,0.203539823
0.20216,1.6473,-0.49851,-1.18167,0.39037,0.300884956
0.31136,1.38316,-0.25407,-1.50527,0.37369,0.256637168
0.58966,1.22305,0.19865,-1.27707,0.30053,0.230088496
0.32094,0.87575,0.06512,-1.56205,0.44671,0.194690265
0.74156,-0.10271,-0.32717,-1.82942,0.20524,0.212389381
0.83788,-0.47802,-0.1531,-0.24233,-0.45676,0.247787611
0.43177,-0.51618,-0.24504,0.10564,-0.16715,0.265486726
0.02034,-0.48438,-0.16077,-0.07666,-0.27316,0.274336283
1.0946,-0.9894,-0.19187,-0.16755,-0.41779,0.283185841
0.37153,-0.6606,-0.37368,-0.10343,-0.14656,0.265486726
0.87284,-0.7472,-0.28518,0.29371,-0.22797,0.283185841
